,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
,33,17076.92963,17529.33956,17731.22923,20001.88614,18221.97442,20765.64101,17974.7318,19611.22275,21288.14979,18427.41284,18206.59551,19244.50875,19100.33924,18921.38549,17847.50799,19656.19883,19173.30112,19072.86188,17434.0848,18953.91666,20689.32457,11585.03634,14666.10079,9280.901366,16592.40558,19204.46727,19009.24069,18605.43083,18034.6822,20083.52018,12993.96659,10595.78429,12621.08228,1084.889076,809.5465256,471.9863198,9788.151554,8906.507712,2589.899417,4589.236554,2636.401171,2359.75126,117.1123578,480.0422793,-34.40006743,-44.17339294,24.0640113,367.4706868
,34,17133.85442,17609.75323,17816.50103,20131.16259,18302.0606,20875.42403,18142.27653,19805.56269,21473.9722,18704.85791,18545.83769,19554.98855,19227.9808,19050.4175,17997.61761,19880.02778,19394.90116,19305.55768,18513.38775,19635.29738,21227.55302,14244.49498,17161.19252,12398.44387,17067.31064,19682.60575,19475.71838,19580.45787,19073.12162,21126.50479,16048.25092,13998.78975,15934.2009,2108.325176,1561.099308,993.3295036,12714.35685,12093.08445,4675.25667,8025.450992,4731.39365,4337.812051,274.0630799,995.0985942,-34.72860102,-36.74068006,99.91381915,773.0715306
,35,17175.91423,17653.48665,17857.22764,20207.57452,18363.54527,20948.60012,18261.04093,19918.34342,21607.3218,18904.49284,18789.3034,19771.97701,19324.18371,19137.16559,18079.73456,20032.27654,19567.30435,19479.46887,19257.52413,20108.07295,21597.59143,16064.32452,18726.78173,14879.50218,17391.90723,20014.79949,19798.73322,20213.14371,19745.99325,21832.36033,18191.07362,16651.37416,18359.31006,3928.508991,2948.948437,1971.373231,14880.43352,14685.18957,7870.92322,11512.77506,8084.422147,7739.373737,597.9243413,1939.131863,-23.27439616,-40.91243545,248.4401483,1532.669347
,36,17216.35035,17689.20614,17878.02251,20283.85666,18401.6898,21018.10415,18360.63612,20011.96682,21697.12259,19072.20796,18973.2965,19953.8866,19404.37724,19252.68968,18152.37675,20147.39176,19684.63759,19624.07814,19848.13452,20472.72446,21883.30395,17228.97464,19720.31584,16592.26963,17647.75258,20273.02685,20050.49895,20683.07153,20254.57878,22380.73941,19620.04853,18479.21175,19983.70941,6794.668226,5238.937645,3647.394218,16228.55034,16430.84357,10962.73954,14662.39282,11451.46814,11318.01378,1199.524454,3612.307482,-12.83677061,-40.61261385,516.2170392,2860.819861
,37,17225.89306,17697.20751,17894.00965,20326.72008,18428.8006,21057.88807,18430.80367,20056.57115,21762.47919,19193.08951,19106.57543,20076.99329,19449.16292,19303.22039,18193.41753,20212.68993,19770.16322,19721.98963,20286.41323,20737.84827,22095.55705,17981.55503,20374.97572,17684.18835,17821.00877,20455.44392,20230.14328,21014.34882,20612.85748,22772.1058,20557.72371,19656.52039,21052.24857,10669.44869,8669.960298,6365.932314,17047.59598,17535.14609,13591.44034,16984.88036,14488.53666,14706.13609,2302.410818,6367.591589,8.94595472,-29.00934983,1026.661759,4997.650058
,38,17230.83459,17707.7274,17919.92177,20377.41111,18450.07315,21117.44688,18482.05061,20109.32722,21806.14379,19315.7821,19196.3056,20183.75845,19484.39961,19350.06987,18219.0908,20308.71387,19800.19097,19812.49497,20649.05331,20955.66726,22267.64861,18521.63372,20851.18162,18414.00833,17967.75533,20596.52057,20379.97375,21283.76437,20895.18028,23073.08294,21245.06726,20472.36128,21814.21123,14186.89579,11958.39028,9884.237317,17561.63896,18247.50929,15459.70066,18471.07292,16750.38329,17310.39109,4186.994068,10040.45787,40.03551691,-22.31286756,1943.407384,7899.825567
,39,17210.33012,17696.41052,17910.90736,20389.81646,18445.66773,21126.08833,18503.49738,20127.09371,21839.67307,19382.72904,19263.97678,20242.42215,19498.35188,19338.72352,18224.93209,20372.34687,19840.05774,19863.21372,20921.53429,21115.80261,22370.87277,18890.00379,21192.16299,18913.31941,18057.01377,20701.05233,20472.68725,21467.8755,21091.66873,23292.53084,21738.54333,21054.43019,22352.4757,17004.74853,14781.41494,13085.4124,17910.16497,18740.04437,16615.80493,19447.68526,18275.98701,19052.34144,7243.925476,13360.43016,95.35635753,0.342324453,3494.956696,10620.55722
,40,17188.93217,17678.70942,17915.5334,20380.30713,18429.54348,21133.03404,18500.01525,20114.14702,21847.2795,19435.27809,19305.96475,20290.77178,19501.05145,19343.90823,18227.09055,20415.60349,19852.97429,19904.13267,21151.15424,21240.68367,22476.9489,19163.22166,21435.65908,19257.28964,18122.16642,20774.88653,20541.53118,21609.16014,21241.49259,23466.66231,22118.67829,21465.90864,22751.86424,18955.97516,16802.14203,15704.13413,18161.46776,19069.6711,17362.32836,20084.84959,19246.31907,20163.44019,10415.21816,15994.66104,191.4188511,32.20015395,5836.571764,12939.98565
,41,17153.34197,17655.78927,17903.9948,20360.72279,18406.87484,21116.93222,18512.51564,20094.1983,21845.67597,19451.58897,19343.31803,20323.09582,19497.93098,19341.47266,18224.63089,20397.55663,19871.86119,19896.92021,21326.1182,21335.98388,22537.11177,19359.73135,21628.1813,19522.3463,18165.01992,20825.53172,20579.58071,21713.67504,21360.02882,23605.09869,22412.82257,21795.38811,23061.95223,20259.62334,18142.02816,17565.0488,18362.0315,19334.43324,17898.49877,20560.93653,19942.83431,20930.49428,13426.13813,17777.61799,352.5351663,105.3043331,8848.371265,14656.35168
,42,17124.6809,17626.60773,17872.03501,20338.36261,18368.80867,21091.0695,18489.76047,20073.52899,21821.09447,19484.39754,19354.11534,20337.45568,19490.23988,19322.29827,18214.50097,20391.66755,19886.21046,19901.21668,21452.85061,21398.31321,22598.35884,19510.99102,21765.54506,19720.61941,18194.05216,20854.25707,20610.81617,21793.23858,21439.27753,23702.32893,22628.89801,22015.74486,23286.03618,21155.08616,19029.91727,18827.77091,18504.01887,19517.33915,18275.73372,20869.58244,20403.02922,21442.38361,15776.87703,18934.18008,619.7172039,224.6427704,11628.51007,15866.66379
,43,17091.61877,17614.15341,17828.61083,20342.08609,18337.46885,21063.30689,18464.48459,20054.09917,21793.24869,19486.62711,19351.79044,20331.32101,19495.55732,19281.94467,18192.81526,20384.86883,19881.19246,19894.51076,21548.65517,21436.56187,22600.22898,19619.61091,21876.36767,19874.6916,18211.52537,20875.19103,20620.35773,21839.89456,21501.94242,23773.73302,22782.49256,22206.90222,23448.98088,21781.38714,19640.39536,19690.10078,18607.2326,19667.92952,18551.95807,21117.35537,20770.40819,21845.2329,17448.78254,19701.10596,1024.464809,444.6538973,13995.17898,16737.55816
